first_name,last_name,gender,nationalID,phone_number,department,faculty
Emily,Munyoki,Female,688479,254786876104,Criminal Law,LAW
Emily,Ogechi,Male,643245,254787792958,Physics,PHY_SCI
Audrey,Nakhumicha,Male,652263,254722790261,Physics,PHY_SCI
Emily,Wafula,Female,632439,254725339556,Jurisprudence and Legal Theory,LAW
Frank,Nyabios,Male,675416,254780256541,Legal Skills,LAW
Peter,Ireri,Male,634996,254753488161,Public Law,LAW
Zachaeus,Musembi,Female,653310,254779733485,Math,PHY_SCI
Douglas,Jemeli,Female,615353,254796670462,Legal Skills,LAW
Omar,Chepchirchir,Male,680650,254710721902,Private Law,LAW
Andrew,Ng'ang'a,Female,616359,254724213208,Physics,PHY_SCI
William,Gitura,Male,661081,254749742803,Computer Science,PHY_SCI
Joyline,Lusigi,Male,641487,254759050141,Criminal Law,LAW
Naftal,Bwire,Female,628548,254727336275,Public Law,LAW
Thomas,Wamalwa,Female,636728,254719693240,Criminal Law,LAW
Luke,Ngumbi,Female,690490,254792119656,Computer Science,PHY_SCI
Wesley,Mucheru,Female,653201,254712036002,Criminal Law,LAW
Ronoh,Kirui,Female,619136,254767750534,Math,PHY_SCI
Mark,Nzioki,Male,666774,254760139202,Criminal Law,LAW
Obadiah,Ndeke,Female,625223,254713527274,Math,PHY_SCI
Bonface,Saiti,Female,610824,254798099215,Legal Skills,LAW
Alexandra,Ooko,Female,664759,254711527812,Jurisprudence and Legal Theory,LAW
Omar,Ndang'a,Female,672591,254793724162,Jurisprudence and Legal Theory,LAW
Richard,Anaya,Male,667129,254728267186,Math,PHY_SCI
Josphat,Madungu,Female,615742,254748162260,Physics,PHY_SCI
Zachaeus,Ajuk,Male,675240,254770054523,Private Law,LAW
Obadiah,Odhiambo,Female,677809,254764825787,Legal Skills,LAW
Francis,Iminza,Female,633071,254784672715,Private Law,LAW
Moses,Mbithi,Male,688876,254775242790,Computer Science,PHY_SCI
Moses,Riungu,Male,623552,254735005488,Math,PHY_SCI
James,Omukanda,Female,655703,254733761375,Physics,PHY_SCI
Mildred,Gichana,Female,690523,254799804595,Jurisprudence and Legal Theory,LAW
Kennedy,Nandeke,Female,670821,254721721490,Math,PHY_SCI
Mark,Maluli,Female,641880,254749887866,Private Law,LAW
Betty,Mutheki,Female,665176,254762990882,Computer Science,PHY_SCI
Fred,Omae,Male,629264,254725769200,Public Law,LAW
Effie,Muleke,Female,657905,254740105618,Jurisprudence and Legal Theory,LAW
Lilian,Chege,Male,686393,254721729023,Jurisprudence and Legal Theory,LAW
Okuta,Bethwell,Female,698202,254789676091,Math,PHY_SCI
Shadrack,Rotich,Male,617132,254778796948,Physics,PHY_SCI
Eliud,Mwishe,Male,653768,254758634394,Public Law,LAW
Catherine,Kioko,Female,689669,254716767008,Computer Science,PHY_SCI
Kipkorir,Mulinge,Male,613389,254752065412,Computer Science,PHY_SCI
Delvin,Ndeke,Female,700325,254722601107,Computer Science,PHY_SCI
Jack,Kaguamba,Female,700120,254773569660,Computer Science,PHY_SCI
Farida,Ogechi,Male,645284,254769967122,Computer Science,PHY_SCI
Peter,Wangwe,Male,652459,254791060850,Computer Science,PHY_SCI
Eliud,Njerera,Male,667588,254780135961,Computer Science,PHY_SCI
Moses,Mbithi,Female,629578,254783586993,Computer Science,PHY_SCI
Moraa,Lekodesa,Female,664140,254739553810,Computer Science,PHY_SCI
Fred,Ndeto,Male,693955,254715337650,Computer Science,PHY_SCI
