first_name,last_name,phone_number,nationalID,gender,faculty,course
Ronoh,Mwasi,254746673466,849569,female,PHY_SCI,B.Sc. Mathematics and Statics
William,Chepkemoi,254775519183,952180,female,SOC_SCI,B.A Anthropology
Sarah,Anaya,254766542124,677224,female,PHY_SCI,B.Sc. Biology
Jemimah,Wanyonyi,254791112923,294475,female,EDU,B.S.Ed Secondary Education
Brain,Mongare,254737979872,701210,male,PHY_SCI,B.Sc. Computer Science
Faith,Ireri,254710788245,177436,female,BUS,B.Com Commerce
Judy,Gitonga,254760387134,107399,female,HEALTH_SCI,BPH. Public Health
Thomas,Mubichakani,254712936476,370800,female,BUS,B.HRM Human Resource Management
Francis,Torotich,254747127006,269061,male,SOC_SCI,B.A International Relations
Nicholas,Omagwa,254799689390,490650,male,EDU,B.S.Ed Secondary Education
Ngeno,Ndang'a,254773989689,139982,male,HEALTH_SCI,BPT. Physiotherapy
Dorothy,Mwishe,254784819412,598659,female,PHY_SCI,B.Sc. Chemistry
Irene,Syongok,254771142785,944843,female,SOC_SCI,B.A International Relations
Rosaline,Mwenda,254779749147,933225,male,HEALTH_SCI,BSN. Nursing
Hespon,Kinoti,254789213383,158159,female,BUS,B.Int.B International Business
Stephen,Waweru,254791180748,746606,male,PHY_SCI,B.Sc. Computer Science
Fred,Mwenda,254733601724,863246,female,LAW,LL.B Law
Lucy,Juma,254736978986,308934,male,BUS,B.B.A Business Administration
William,Gichohi,254793142351,326191,female,SOC_SCI,B.A Anthropology
Juliet,Musembi,254726546784,592104,male,EDU,B.E.C.E Early Childhood Education
Job,Misoi,254739232494,700198,female,SOC_SCI,B.A Political Science
Maureen,Wafula,254724279296,467755,female,EDU,B.S.Ed Secondary Education
David,Majoni,254736414883,287749,male,EDU,B.S.Ed Secondary Education
Douglas,Bundi,254752610298,550803,female,HEALTH_SCI,MBBS. Medicine and Surgery
Jack,Torotich,254722581367,710433,male,PHY_SCI,B.Sc. Chemistry
Edwin,Ahmed,254722315855,911414,female,EDU,B.E.C.E Early Childhood Education
Jaspher,Ireri,254788338752,463049,female,SOC_SCI,B.A Psychology
Zachary,Madungu,254715338826,129426,male,BUS,B.HRM Human Resource Management
Wilson,Omagwa,254782832520,212510,female,SOC_SCI,B.A Sociology
Emma,Kasoa,254736826936,345993,male,SOC_SCI,B.A Psychology
Eliud,Mulinge,254762755318,339875,male,HEALTH_SCI,MBBS. Medicine and Surgery
Chepkemoi,Nyaundi,254720886205,632463,male,HEALTH_SCI,BPT. Physiotherapy
Judy,Rioba,254745460708,963920,male,SOC_SCI,B.A Sociology
Ronald,Njoroge,254719386990,290880,male,SOC_SCI,B.A Political Science
Ronald,Ayuma,254713467579,587023,male,SOC_SCI,B.A International Relations
Peter,Mukangai,254737887346,192879,male,BUS,B.Com Commerce
Ronald,Mwasi,254722684373,529894,male,PHY_SCI,B.Sc. Computer Science
Hesbon,Cherotich,254759466078,186845,male,HEALTH_SCI,BSN. Nursing
Agnes,Njoroge,254788509072,867411,female,SOC_SCI,B.A Anthropology
Jonathan,Mutua,254777194398,815094,female,PHY_SCI,B.Sc. Chemistry
John,Rotich,254726050777,676017,male,LAW,LL.B Law
Lydia,Mwanthi,254780262161,368418,female,EDU,B.E.C.E Early Childhood Education
Irene,Mwenda,254760044856,178073,male,SOC_SCI,B.A International Relations
Hargreves,Obuya,254780256222,585043,male,EDU,B.S.Ed Special Education
Edwin,Kipsang,254770956225,295751,male,SOC_SCI,B.A Political Science
Naftal,Bundi,254724891232,345636,female,PHY_SCI,B.Sc. Physics
Sarah,Njeri,254721452272,988727,female,HEALTH_SCI,BPH. Public Health
Fred,Kahuthu,254732839207,443078,female,BUS,B.Com Commerce
Ruben,Gitonga,254735428363,901714,female,BUS,B.F Finance
Edwin,Maina,254711135422,694057,female,EDU,B.Ed Education
Daniel,Makokha,254794559093,883810,male,PHY_SCI,B.Sc. Physics
Douglas,Marire,254767548216,895715,male,EDU,B.E.C.E Early Childhood Education
Jared,Nyameino,254769776425,182147,female,PHY_SCI,B.Sc. Computer Science
Leah,Mwiti,254746045362,340818,male,HEALTH_SCI,MBBS. Medicine and Surgery
Zachaeus,Gatende,254798260878,776074,female,PHY_SCI,B.Sc. Biology
Geoffrey,Jepkemei,254750118912,594593,male,SOC_SCI,B.A International Relations
Stephen,Misoi,254720229704,702452,male,HEALTH_SCI,BSN. Nursing
Wilfred,Gichana,254792235109,616918,female,PHY_SCI,B.Sc. Chemistry
Lilian,Mirimo,254714803638,862949,female,BUS,B.B.A Business Administration
Koome,Wangwe,254766291603,807688,male,PHY_SCI,B.Sc. Mathematics and Statics
Selah,Yogo,254744661265,193117,male,HEALTH_SCI,BPH. Public Health
Moses,Ireri,254760995904,924154,female,BUS,B.Com Commerce
Brain,Temba,254782757774,187328,male,HEALTH_SCI,BPH. Public Health
Solomon,Chepkemoi,254794441949,493123,female,BUS,B.B.A Business Administration
Peter,Nduati,254729045155,754823,female,LAW,LL.B Law
Onesmus,Paul Kioko,254742255784,240357,female,HEALTH_SCI,BPT. Physiotherapy
Hillary,Singoei,254788361628,904384,male,SOC_SCI,B.A Anthropology
Migiro,Bundi,254763314870,942677,female,BUS,B.B.A Business Administration
Nicholas,Ouma,254737012293,195003,male,HEALTH_SCI,BPH. Public Health
Alex,Kirimi,254771369257,778983,female,EDU,B.S.Ed Special Education
Hesborne,Shiundu,254753933767,983898,male,HEALTH_SCI,BDS. Dental Surgery
Timothy,Mubichakani,254750153089,230662,female,SOC_SCI,B.A Anthropology
Vincent,Rayola,254793779820,916287,female,BUS,B.Com Commerce
Hillary,Ochoi,254789168760,958045,male,SOC_SCI,B.A Sociology
Kitilit,Gatende,254755963157,881953,male,HEALTH_SCI,BDS. Dental Surgery
Moses,Njeri,254716728260,970696,male,EDU,B.S.Ed Special Education
Erick,Mwenda,254718328734,649937,male,PHY_SCI,B.Sc. Biology
Jemimah,Juma,254794811896,805936,female,PHY_SCI,B.Sc. Chemistry
